Platform ID,Platform Name,Key Concept,Example,Argument,Quote,Historic Precedent,Critique,Key Features
krugel_ostermaier_uhl_2023_moral_authority.platform5,Remedies for Responsible AI,Ensuring ethical use of influential systems like ChatGPT,Proposed digital literacy training,"Transparency insufficient, instead better education needed","""The best remedy we can think of is to improve users’ digital literacy""",Past efforts to educate people on media literacy,Training still limited in ability to prevent problems,"Educational, skill-building, preventative"
krugel_ostermaier_uhl_2023_chatgpt_inconsistent.platform1,ChatGPT's Inconsistent Moral Advice,ChatGPT gives contradictory moral advice on the same issue.,Advises both for and against sacrificing one life to save five.,"ChatGPT lacks a consistent moral stance, so its advice cannot be relied upon.","""ChatGPT argued sometimes for, sometimes against sacrificing one life to save five.""",AI systems giving unreliable or dangerous advice.,"While AI advice can be useful, consistency and reliability are crucial.","Unreliable, contradictory, ethically concerning."
krugel_ostermaier_uhl_2023_chatgpt_inconsistent.platform2,Influence on Moral Judgment,ChatGPT influences users' moral judgments.,Users more likely to favor sacrifice if ChatGPT advises for it.,"Even when attributed to an AI, ChatGPT's arguments sway moral opinions.","""ChatGPT’s advice does influence moral judgment.""",Studies on conformity and persuasion.,More research needed on long-term influence.,"Persuasive, conformity-inducing, judgment-altering."
krugel_ostermaier_uhl_2023_chatgpt_inconsistent.platform3,Underestimating Influence,Users underestimate ChatGPT's influence.,Users think their judgment would be the same without advice.,People are overconfident in stability of their moral stance.,"""Users underestimate ChatGPT’s influence and adopt its random moral stance.""",Psychological research on bias blind spots.,More evidence needed on awareness of influence.,"Subconscious, underappreciated, bias-inducing."
krugel_ostermaier_uhl_2023_chatgpt_inconsistent.platform4,Responsible AI Design,Need for responsible bot design.,Declining to give advice requiring moral stance.,Bots should be limited in situations requiring ethical consistency.,"""Chatbots should not give moral advice because they are not moral agents.""",Calls for ethics-by-design in AI.,Hard to restrict all possible advice-giving by bots.,"Ethical, transparent, limited."
krugel_ostermaier_uhl_2023_chatgpt_inconsistent.platform5,Digital Literacy,Improving users' digital literacy.,Understanding bots' capabilities and limitations.,Users need skills to critically assess bot advice.,"""The best remedy we can think of is to improve users’ digital literacy.""",Initiatives to educate public on technology.,Hard to implement effectively and at scale.,"Educational, empowering, critical thinking-focused."
bassett_2019_computational_therapeutic.platform1,The Nature of the Computational Therapeutic,The relationship between technology and therapy,"ELIZA as an early ""computational therapist""","New forms of AI and automation are giving rise to a ""machinic therapeutic condition""","""It is in its designation as a computational therapist that ELIZA is most significant today.""",Debates between Skinnerian behaviorism and Rogerian therapy,The therapeutic potential of technology is limited and raises issues of control and agency,"Modulatory, ambiguous, blending therapy and technology"
bassett_2019_computational_therapeutic.platform2,Anxiety Over Machine Intelligence,Fear of machine logic displacing human values,Public reception of ELIZA,Equating human rationality with machine logicality leads to the domination of the latter,"""What could be more obvious...than that the intelligence a computer ‘can muster’, ‘however acquired’ must always and necessarily be...alien to any and all authentic human concerns’?""",Cybernetic visions of society,Attempts to sharply divide human and machine cognition may be simplistic,"Hubristic, alien, threatening"
bassett_2019_computational_therapeutic.platform3,The Droning of Experience,Automation and control via affect modulation,Lethal automated weapons systems,New forms of automation bypass human cognition and target affects,"""To drone' is to render human experience into what Andrejevic calls object experience' through the application of the computational""",Behaviorist conditioning experiments,The loss of human agency and subjectivity,"Post-psychoanalytic, machinic, modulated"
bassett_2019_computational_therapeutic.platform4,Computational Behaviorism,The revival of behaviorism through computing,Government social programs using nudge techniques,New forms of behavioral control employmodulation rather than developing autonomy,"""Explicitly behaviorist nudge-based (Sunstein and Thaler, 2008) social (media) programmes launched by governments ‘for our own good’—and by corporations for theirs—instantiate a therapeutic relationship between computer and human...""",B.F. Skinner's visions for conditioning societies,"Issues around consent and ""push"" rather than ""nudge""","Modulatory, paternalistic, incentivizing"
bassett_2019_computational_therapeutic.platform5,The Automation of Expertise,Replacement of human skills and judgment by machines,ELIZA seen as demonstrating potential for automated therapy,AI developments enable expansion of machine expertise into new domains,"""Developments in artificial intelligence which enable the further ‘automation of expertise’ (Bassett et al. 2013; Bassett 2013), and the expansion of the ‘droning’ of experience’ (Andrejevic, 2015)""",Calls for cybernetic control systems in society,Loss of human skills and agency,"Substitutive, expansionist, automated"
bassett_2019_computational_therapeutic.platform6,The Computational Self,Machine logics reshaping human subjectivity,Social media profiles,Computational techniques operate on and modulate the self,"""Deploying the computational within various techniques to ‘address’ human issues is part of how we live now; assisted by machines.""",Psychoanalytic and Marxist ideas of the programmable self,Threats to autonomy and agency,"Cybernetic, calculative, modulated"
skinner_2002_beyond_freedom_dignity.platform1,The Inadequacy of Earlier Environmentalism,Earlier versions of environmentalism failed to adequately explain human behavior because they could not explain how the environment worked.,Robert Owen's utopian experiment at New Harmony.,We must understand how the environment shapes behavior before we can effectively change environments to induce desired behavior change.,"""Environments are constructed on the model of environments in which good behaviour has been observed, but the behaviour fails to appear.""",,"While earlier environmentalism failed, the current analysis of operant conditioning helps explain how environments shape behavior.","Premature, inadequate understanding of environmental influence."
skinner_2002_beyond_freedom_dignity.platform2,The Myth of Autonomous Man,The illusion of an autonomous inner agent directing human behavior.,"Belief in an inner soul, mind, spirit.",Scientific analysis shifts control over behavior from an imaginary autonomous man to the external environment.,"""Autonomous man is a device used to explain what we cannot explain in any other way.""",,"While belief in an autonomous inner man is deeply culturally engrained, it is scientifically bankrupt.","Illusory, unfalsifiable, explanatorily impotent."
skinner_2002_beyond_freedom_dignity.platform3,The Environment as Controller,External environment as the controller of human behavior rather than an inner agent.,Operant conditioning showing environmental control over behavior.,Contingencies of reinforcement in the environment shape an individual's behavioral repertoire.,"""In shifting control from autonomous man to the observable environment we do not leave an empty organism.""",,"Some critics argue this makes man passive, but the environment is largely man-made.","External, manipulable, scientifically observable."
skinner_2002_beyond_freedom_dignity.platform4,Man as Controller of Environment,"While environments control individual behavior, environments are man-made cultural products.","Technologies, cities, social practices.",The evolution of culture represents a collective exercise in environmental self-control.,"""The human species has constructed an environment in which its members behave in a highly effective way.""",,Some cultural developments have had negative consequences.,"Self-constructed, generational, collective control."
skinner_2002_beyond_freedom_dignity.platform5,Death - The Ultimate Threat to Freedom,Death represents the ultimate assault on human freedom and dignity.,Fear of personal annihilation.,Belief in autonomous individuality leaves one unable to make peace with inevitable death.,"""The individualist can find no solace in reflecting upon any contribution which will survive him.""",,Collectivist cultures may be more capable of reconciling death.,"Inescapable, destructive to individualism, culturally managed."
skinner_2002_beyond_freedom_dignity.platform6,A Scientific View's Practical Promise,A scientific view enables technological progress to improve the human condition.,Using operant psychology to shape better behaviors.,Science shifts focus from inert philosophy to manipulable subject matter.,"""It is hard to imagine a world in which people live together without quarrelling...""",,Progress has downsides and science alone isn't sufficient.,"Manipulable, culturally actionable, progress enabling."
skinner_1963_operant_behavior.platform1,Contingencies of Reinforcement,The core role of reinforcement contingencies in shaping behavior.,Experiments showing how behavior changes depending on reinforcement schedules.,"Operant behavior is defined by its reinforcement contingencies, not by antecedent stimuli or inner purposes.","""The Law of Effect specifies a simple temporal order of response and consequence—the relation implied by the term operant.""",Thorndike's law of effect.,Focusing solely on reinforcement contingencies overlooks biological constraints on behavior.,"Functional, contextual, schedule-dependent."
skinner_1963_operant_behavior.platform2,Rate of Responding,Rate of responding as the key behavioral measure.,Cumulative response records showing rate changes.,Changes in response rates reveal orderly behavioral processes amenable to scientific analysis.,"""Changes in rate comprise a vast and previously largely unsuspected subject matter.""",Earlier focus on latency and trials.,Rate measures may miss qualitative aspects of responses.,"Quantitative, temporal, dynamic."
skinner_1963_operant_behavior.platform3,Automatic Reinforcement,Automatically arranged reinforcement enables the study of operant behavior.,Skinner boxes with levers and food dispensers.,Automatic reinforcement delivery standardizes experiments and allows rate measurement.,"""The availability of automatic equipment has helped to standardize experiments...""",Manual shaping procedures.,Automatic equipment risks divorcing research from ecological context.,"Controlled, efficient, scalable."
skinner_1963_operant_behavior.platform4,Complex Contingencies,Contemporary research analyzes complex interlocking contingencies.,Concurrent and chained schedules.,Modern techniques can examine intricate webs of behavioral contingencies.,"""The contingencies of reinforcement currently under investigation are much more complex.""",Single operandum discrete trial experiments.,Highly complex contingencies may lack ecological validity.,"Multivariate, relational, interactive."
skinner_1963_operant_behavior.platform5,Formal Models,Formal models like game theory can represent behavioral contingencies.,Game theory approaches to conflict and cooperation.,Mathematical models complement experimental analyses.,"""Formal analyses of contingencies of reinforcement are related to behavior...""",Informal conceptual analyses.,Formal models risk divorcing analyses from behavioral realities.,"Abstract, rational, idealized."
skinner_1963_operant_behavior.platform6,Contingencies and Culture,Broad role of reinforcements in human cultural practices.,"Rules, laws, grammars as codified reinforcements.",Cultural evolution shaped by reinforcement.,"""Contingencies of reinforcement are also valuable in interpreting behavior not easily submitted to a laboratory analysis.""",Mentalistic cultural interpretations.,Culture involves more than contingencies of reinforcement.,"Extended, social, institutional."
skinner_2002_beyond_freedom_dignity.platform1,Analyzing Human Behavior Scientifically,Replacing autonomous inner man with the environment,"Analyzing aggression through environmental contingencies rather than innate ""aggression""","Human behavior should be analyzed scientifically by looking at environmental factors rather than attributing behavior to an inner ""autonomous man.""","""As a science of behaviour adopts the strategy of physics and biology, the autonomous agent to which behaviour has traditionally been attributed is replaced by the environment.""",Early ineffective environmentalist reforms,Scientifically analyzing human behavior seems to abolish man's autonomy and dignity,"External, environmental, contingent"
skinner_2002_beyond_freedom_dignity.platform2,Designing Cultural Practices,Intentionally designing better cultural practices,Improved child-rearing methods,We can intentionally design improved cultural practices by arranging contingencies to produce desired behavior.,"""It is possible to propose better ways than we now have and to support them by predicting and eventually demonstrating more reinforcing results.""",Failed utopian communities,"While designing practices scientifically is effective, values guiding application matter","Intentional, technological, contingent"
skinner_2002_beyond_freedom_dignity.platform3,Working Towards Cultural Survival,Designing culture for survival value,Stabilizing population growth,We should design cultural practices primarily for the survival value of the culture.,"""If he is strongly reinforced when he sees other people enjoying themselves...he will design an environment in which children are happy.""",Apocalyptic visions and dire predictions,Survival value should be balanced with dignity and happiness,"predictive, preventative, survival-focused"
skinner_2002_beyond_freedom_dignity.platform4,The Changing Self,The self as a product of contingencies,Different selves in different environments,"The ""self"" emerges from the contingencies which shape behavior, rather than an autonomous inner agent.","""A self is a repertoire of behaviour appropriate to a given set of contingencies.""","Debates about the inherent ""self""","While selves are contingent, individuals still have uniqueness","situational, behavioral, reinforced"
skinner_2002_beyond_freedom_dignity.platform1,The Struggle for Freedom,Freedom as escape from aversive stimuli.,"Avoiding pain, fleeing threats.",The struggle for freedom is rooted in behaviors that help organisms avoid harm.,"""Freedom is achieved by the relatively simple forms of behavior called reflexes.""",Fight or flight responses to threats.,"But much human behavior is learned, not innate.","Avoidance, escape, attack."
skinner_2002_beyond_freedom_dignity.platform2,Control through Reinforcement,Positive reinforcement as behavioral control.,"Providing wages, inducements.",Positive reinforcement can exert control without escape or revolt.,"""Who is to construct the controlling environment and to what end?""","Piece-rate wages, government lotteries.",But there can still be deferred consequences.,"Non-aversive, covert, deferred effects."
skinner_2002_beyond_freedom_dignity.platform3,The Literature of Freedom,Writings designed to promote struggle against control.,Revolutionary manifestos and speeches.,These writings induce people to attack sources of control.,"""The literature of freedom has identified the other people...""","Figures like Rousseau, Voltaire.",But they define freedom poorly and miss positive controls.,"Attack controllers, change feelings about control."
skinner_2002_beyond_freedom_dignity.platform4,Generalizing Against Control,Seeing all control as wrong.,Believing no social control should be tolerated.,Some extend objections to abusive control to all control.,"""...it has been necessary to disguise...useful practices.""",Puritan objections to pleasure.,But many forms of control are not objectionable.,"Indiscriminate, absolutist, fearful."
skinner_2002_beyond_freedom_dignity.platform5,Beyond Feeling Free,Inadequacy of defining freedom as a feeling.,Feeling free under positive control with deferred consequences.,"Freedom must be defined in terms of controlling contingencies, not feelings.","""Freedom is a matter of contingencies of reinforcement...""",Rousseau's advocacy of covert control.,But feelings can reveal suffering from concealed control.,"Beyond emotion, analyzing contingencies, conscious awareness."
skinner_2002_beyond_freedom_dignity.platform6,Redesigning Rather Than Escaping Control,Altering social control rather than eliminating it.,Making social environments less aversive.,We should redesign rather than escape necessary social control.,"""[We need to] analyse and change the kinds of control...""",Gradual reduction in workplace harshness.,But some forms of control may be incompatible with freedom.,"Social engineering, incremental change, give and take."
eu_parliament_2023_ai_act.platform1,Ensuring Trustworthy and Rights-Based AI,Using regulation to ensure AI respects rights and values.,Bans on harmful AI like social scoring and manipulation.,Rules are needed to guide AI development in a human-centric direction.,"""respecting fundamental rights and the European values, building trust""",Lack of oversight of new technologies like social media.,Regulations could stifle innovation if not balanced properly.,"Protective, value-based, aimed at building trust."
eu_parliament_2023_ai_act.platform2,Fostering Business Innovation,Supporting the growth of Europe's AI sector.,Regulatory sandboxes for developing new AI systems.,Smart rules can boost innovation and European competitiveness.,"""foster the development of new business ideas with the sandboxes""",Europe lagging behind in previous tech revolutions.,Prioritizing business needs over protecting rights.,"Supportive of startups and SMEs, promotes innovation."
eu_parliament_2023_ai_act.platform3,The Systemic Risk of Powerful Models,Addressing risks from large language models.,Generative AI like DALL-E and ChatGPT.,Powerful AI models need transparency and oversight.,"""clear rules for the most powerful models""",Unchecked power of big tech companies.,Hard to predict and address future systemic risks.,"Focused on powerful systems, emphasizes transparency."
eu_parliament_2023_ai_act.platform4,The Global AI Race,Europe's potential leadership in AI governance.,Other countries following the EU’s regulatory example.,"Smart rules can make Europe a leader, not just a follower.","""when Europe works together, it can lead""",GDPR becoming a global standard.,Competition with US and China on AI development.,"Standard-setting, inspires other regulatory models."
eu_parliament_2023_ai_act.platform5,Achieving Compromise and Consensus,Overcoming divisions to reach an agreement.,Marathon negotiations between institutions.,Compromise was necessary for a balanced outcome.,"""this was a marathon negotiation by all standards""",Typical lengthy EU legislative process.,Outcome not fully satisfying any one side.,"Hard-fought, required compromise from all parties."
eu_parliament_2023_ai_act.platform6,AI's Transformative Potential,AI as an epochal revolution touching all aspects of life.,AI's economic and social impacts.,Societies must adapt intelligently to AI's opportunities and challenges.,"""AI is becoming so omnipresent in our lives""",Previous technological revolutions like industrialization.,Risk of passive acceptance rather than active management.,"High-impact, ubiquitous, requiring proactive governance."
rahimi_moghaddam_honey_2023_theory_mind.platform1,Theory of Mind Reasoning in Language Models,Theory of mind (ToM) reasoning capabilities in large language models (LLMs),ToM scenarios involving comprehension of agents' mental states,Appropriate prompting can enhance LLMs' ToM reasoning performance,"""LLMs may possess the capacity for performing ToM reasoning and yet not express this competence without the appropriate context or prompting.""",Prior evaluations of ToM abilities in neural networks,Performance varies across models and prompting techniques,"Mental state attribution, belief inference, false belief comprehension"
rahimi_moghaddam_honey_2023_theory_mind.platform2,Context Dependence of LLM Abilities,Context-sensitivity of LLM reasoning,Varying performance of models across prompts,LLM abilities are highly dependent on the provided prompt/context,"""the type of output generated by LLMs can be highly context-sensitive""",Prior work on few-shot learning and in-context examples,Difficult to characterize capabilities without careful prompting,"Variable, prompt-driven, setting-dependent"
rahimi_moghaddam_honey_2023_theory_mind.platform3,Prompting Methods for Enhanced Reasoning,Techniques to improve LLM reasoning via prompting,Chain-of-thought and step-by-step prompting,Certain prompting methods can unlock reasoning abilities,"""appropriate prompting enhances the ToM reasoning performance of these highly context-sensitive models""",Prior work on beneficial prompting techniques,More research needed on optimal prompting approaches,"Guided, step-wise, reasoning-focused"
rahimi_moghaddam_honey_2023_theory_mind.platform4,Challenges in Evaluating LLM Abilities,Difficulties in assessing LLM reasoning capacities,Varying interpretations of model outputs,Evaluating LLM reasoning is non-trivial and requires nuanced analysis,"""it was not always possible to label model output as correct or incorrect""","Prior debates on evaluation of ""understanding"" in LLMs",Benchmark tasks are lacking for complex reasoning,"Ambiguous, subjective, interpreter-dependent"
rahimi_moghaddam_honey_2023_theory_mind.platform5,Failure Modes Vary Across Models,Differences in model limitations and errors,Overconfidence vs. equivocation,"Models can fail in different ways, for different reasons","""Models may fail for different reasons""",Analyses of failure modes in ML systems,Deeper understanding of model-specific limitations needed,"Heterogeneous, error-dependent, model-specific"
rahimi_moghaddam_honey_2023_theory_mind.platform6,Generalizability Beyond ToM,Extending prompting benefits beyond ToM,Non-ToM scenarios requiring inference,Prompting may improve broader inferential abilities,"""performance gains from prompting are not limited to inferential ToM tasks""",Research on generalization in human cognition,Further tests on range of reasoning tasks needed,"Transferable, flexible, widely-applicable"
erickson_2016_public_domain.platform1,Defining the Public Domain Economically,Using economic approaches to define and value the public domain,Calculating consumer surplus from public domain images on Wikipedia,Economic evidence and techniques can be useful for influencing IP policy debates,"""Supplying economic evidence on the value of the public domain is one significant way that academics can influence intellectual property policy.""",Shift from public domain as 'information commons' to economic engine following 2011 Hargreaves Review,Narrow economic approaches may not satisfy broader public interest goals like access to information,
erickson_2016_public_domain.platform2,Welfare Economics and the Public Domain,Weighing producer/consumer surplus under different IP configurations,Calculating optimal copyright term length based on market effects,Welfare economics provides an approach to finding the right balance of incentives versus access,"""The purpose of copyright for Landes and Posner is therefore to ‘maximize the benefits from creating additional works minus both the losses from limiting access and the costs of administering copyright protection.'""",Landes and Posner's 1989 economic analysis of copyright law,Focus on market efficiency ignores non-economic public interest considerations,
erickson_2016_public_domain.platform3,Innovation Economics and the Public Domain,Role of public domain in enabling innovation and appropriation of value,Open source software development without IP protection,Public domain can promote innovation by reducing barriers and costs,"""Theoretical and empirical research suggests that even in areas where intellectual property rights are possible to apply and routinely granted, it may still be economically efficient to reduce the level of protection for new innovations.""",Success of open source software starting in 1990s,Innovation approach focuses on commercial potential; ignores public access,
erickson_2016_public_domain.platform4,Public Interest Justification,Role of public domain in enabling democratic participation and access to information,Wikipedia as a freely accessible public domain resource,Public domain serves vital functions for democracy beyond economic value,"""The existence of a public domain could be said to serve an essential purpose in democratic society by providing a common reservoir of information upon which an informed citizenry can make choices.""",Balancing of access and incentives in IP law,Hard to quantify public interest value of public domain,
kop_2022_abundance_equality.platform1,The Transition from Scarcity to Abundance,The macro changes in economy and society driven by technology,Ubiquitous technologies eradicating scarcity,"We are undergoing a shift from relative scarcity to relative abundance across interlinked systems - economic, sociopolitical, environmental","""Globalization, digitization and intensified competition made prices for a broad spectrum of products and services fall toward the marginal cost of production""",The progression of economic systems and societal development throughout history,Abundance sounds bizarre for many people struggling with poverty,"Technological, systemic, transitional"
kop_2022_abundance_equality.platform2,Managing the Shift with Good Governance,The role of good governance in abundance,State management of resources and production,Good governance is key to ensure equitable outcomes from abundance,"""This chapter connects good governance to the end of scarcity and integrates equality into abundance.""",Governance systems throughout history,Interests conflicting with equal abundance will oppose reforms,"Institutional, regulatory, ethical"
kop_2022_abundance_equality.platform3,Reimagining Legal Frameworks,Rethinking property and IP laws,Artificial scarcity through IP protections,Legal institutions built on scarcity need redesigning,"""This chapter critically examines the normative justifications of our scarcity based legal institutions""",Property and IP regimes over time,Path dependence obstructs reforms,"Legal, institutional, innovative"
shi_2022_legal_personality_ai.platform1,Negation of Legal Personality for AI,AI should not be granted legal personality status.,Cases like copyright for AI-generated works.,AI lacks key attributes like free will and cannot bear rights or responsibilities.,"""AI cannot or should not be entitled to any right or interest, nor can it bear any responsibility or obligation.""",Past debates over legal personality for entities like corporations. ,Some argue limited legal status may someday be necessary.,"Philosophical, rights-based, responsibility-based."
shi_2022_legal_personality_ai.platform2,The Nature of Weak AI,"Current ""narrow"" AI has significant limitations.",AI accidents and failures.,Weak AI's lack of general intelligence makes it unreliable and uninterpretable. ,"""Weak AI displays a weak reliability.""",Early hopes versus realities for AI capabilities.,Weak AI still has usefulness despite limitations.,"Fragile, opaque, narrow skillset."
shi_2022_legal_personality_ai.platform3,AI's Creative Capabilities,"AI can generate art, writing and other creative works.",Microsoft Xiaoice's poetry and art.,AI creativity has unique features but is not true creativity.,"""The creation process of AI does not belong to the composition activities protected by copyright law.""",Long history of debates over computer creativity. ,AI creativity may someday warrant legal protection.,"Data-based, algorithmic, human-driven."
shi_2022_legal_personality_ai.platform4,AI Accidents and Responsibility,AI lacks interpretability needed for legal responsibility.,Self-driving car accidents.,Black-box decisions of AI cannot justify punishment or prevention. ,"""Legal subjects are entitled to rights, and undertake the due obligations for their behaviors only when those behaviors can be interpreted.""",Product liability debates about emerging technologies. ,Some accountability may still be possible.,"Unpredictable, unexplainable, opaque."
shi_2022_legal_personality_ai.platform5,Practical Solutions,Practical legal approaches for current weak AI.,Court rulings on AI copyright.,Rights should go to AI developers/users; liability requires case-by-case analysis.,"""Designers, manufacturers and users can assume corresponding responsibilities according to the determination method of tort liability.""","Computer law, product liability and IP law debates.",Solutions still need additional development over time.,"Flexible, hybrid approach."
talimonchik_2021_legal_personality_ai.platform1,The Challenge of Regulating New Technologies,New technologies like AI create needs for new forms of legal regulation. ,"Big data, neural networks, blockchain",Existing laws and concepts may not fully address new technologies,"""New technologies as new objects of international information relations have led to the need for theoretical developments in the field of international law""",Past innovations like the printing press led to new laws,Some argue new technologies can be regulated under existing frameworks,"Uncharted, novel, requiring new approaches"
talimonchik_2021_legal_personality_ai.platform2,The Legal Status of AI,Whether AI should or could have legal personality,Corporations as legal persons,AI may one day require/deserve legal status for responsibility purposes,"""One of the key problems...is the problem of recognizing the international legal personality of artificial intelligence.""",History of corporate personhood debates,AI lacks human judgement and consciousness,"Anthropomorphizing, rights/responsibilities, personhood"
talimonchik_2021_legal_personality_ai.platform3,International Cooperation on AI Governance,Countries working together on AI laws and ethics,UN/WHO/ITU summits and working groups,Universal guidelines needed for shared challenges,"""activities of international organizations at the universal level in the regulation of the use of artificial intelligence in the interests of all mankind""","International cooperation on previous technologies (telecom, etc.)",Consensus difficult with many competing interests,"Multilateral, collaborative, co-governance"
talimonchik_2021_legal_personality_ai.platform4,AI Risks and Ethics,Ensuring AI is safe and morally guided,UNESCO recommendation on AI ethics,AI must be developed and used responsibly,"""UNESCO plans to adopt a resolution on the ethical aspects of artificial intelligence"" ",Debates on ethics of past innovations like cloning,Ethical guidelines lack enforcement mechanisms,"Values-based, precautionary, aligning creators/users"
talimonchik_2021_legal_personality_ai.platform5,The Tech Governance Challenge,Difficulty of effectively governing rapid technological innovations,Gaps and ambiguities in applying laws to new tech,"Laws lag behind tech, challenging policymakers","""Previously, he held World Summits on the Information Society, which made a significant contribution to regulating information and communication technologies""","Struggles to govern the internet, genetic engineering etc.",Creative governance solutions can help address the pace of innovation,"Accelerating, complex, governance strain"
abercrombie_curry_dinkar_talat_2023_anthropomorphism_dialogue.platform1,The Inevitability of Anthropomorphism,Humans inherently anthropomorphize objects and systems,Referring to systems using gendered pronouns,Some degree of anthropomorphism is inevitable in dialogue systems,"""anthropomorphism may be a default behavior""",Aesop's fables of anthropomorphic animals,"While inevitable, anthropomorphism should not be gratuitously encouraged","Reflexive, intrinsic human tendency"
abercrombie_curry_dinkar_talat_2023_anthropomorphism_dialogue.platform2,Motivations for Anthropomorphic Design,Design choices that engender anthropomorphism,"Giving systems human names, avatars, emotions",Anthropomorphism increases user engagement with systems,"""increasing user satisfaction and adoption""",Early efforts to create humanlike AI systems,User engagement should not outweigh transparency,"Hedonic, social motivations"
abercrombie_curry_dinkar_talat_2023_anthropomorphism_dialogue.platform3,Linguistic Cues for Anthropomorphism,Language factors that contribute to anthropomorphism,"Use of first-person pronouns, displaying empathy",Many subtle language factors can encourage anthropomorphism,"""the language they use to describe the systems they build""",Gendering of digital assistants,Linguistic factors alone do not deterministically cause anthropomorphism,"Multi-dimensional, emergent"
abercrombie_curry_dinkar_talat_2023_anthropomorphism_dialogue.platform4,Harms of Anthropomorphic Systems,Adverse societal impacts of anthropomorphic systems,Overreliance on unreliable system outputs,Anthropomorphism causes issues like deception and stereotyping,"""encouraging or enabling users to predominantly gender systems as female reinforces gender stereotypes""",Failures like Microsoft's Tay chatbot,Some contexts may warrant limited anthropomorphism,"Transparency, trust, and regulation issues"
abercrombie_curry_dinkar_talat_2023_anthropomorphism_dialogue.platform5,Strategies to Mitigate Anthropomorphism,Ways to design systems to avoid anthropomorphism,"Displaying uncertainty, avoiding personas",Developers should minimize signals that encourage anthropomorphism,"""avoid falling into the trap of creating mirages of humanity""",Legislation requiring bot disclosures,No perfect solution exists to prevent personification,"Context-dependent, multidimensional"
bublitz_2022_ai_part_person.platform1,Defining Legal Personhood,The criteria for legal personhood and its relation to rights and responsibilities,Companies as legal persons,"Legal personhood grants entities rights and duties, though often only provides a basic legal status","""Personhood is relevant in law and other normative systems that consider persons as the basic units and reference objects of norms.""","Historical denial of personhood to slaves, women, etc.",Legal personhood alone does not guarantee the ability to exercise rights freely and independently,"Entry status, holder of rights, bearer of duties"
bublitz_2022_ai_part_person.platform2,Mental Criteria for Personhood,Relation between mental capacities and normative personhood,"Debates over personhood for animals, AI systems",Most accounts see mental capacities central to conceptions of personhood,"""Mental capacities (or the potential to develop them) take a prime place (in accounts of personhood)""",Rationality as traditional hallmark of persons,Specific sets of criteria vary and remain contested,"Reasoning, morality, consciousness key markers"
bublitz_2022_ai_part_person.platform3,Boundaries and Parts of Persons,Defining boundaries and parts of persons,"Pacemakers, prosthetics as part of persons",Clear bodily boundaries are hard to define; function more important than materiality,"""Can AI-devices become part of the body, the mind, or both?""",Earlier conceptions restricted to organic parts,Some still argue parts must be biologically based,"Functional, integrated, materially variable"
bublitz_2022_ai_part_person.platform4,Merging Minds and Machines,Possibility of human-AI integration,"Brain-computer interfaces, affective neurodevices",AI systems can become part of mind and person under certain conditions,"""AI-devices can be empersonified, in a robust sense""",Traditional separation of humans and artifacts,May disrupt conceptions of autonomy and authentic personhood,"Integrated, adaptive, technologically-enhanced"
bublitz_2022_ai_part_person.platform5,Implications of Human-AI Merger,Ethical issues arising from human-AI integration,Responsibility for actions of integrated neurodevices,Integration requires rethinking legal and ethical practices regarding persons,"""Empersonification marks a new step...that deserves critical ethical reflection""",Past practices unprepared for tech-enhanced persons,May further entrench problematic assumptions about personhood,"Transformative, ethically-consequential, requiring new norms"
hauer2022importance.platform1,Ethical Issues in AI Development,The need for ethical guidelines in AI development.,Self-driving cars having to make ethical choices in accident situations.,AI systems must be developed according to ethical principles focused on human values.,"""AI technologies should be developed, deployed and used...based on respect for fundamental rights.""",Lack of ethical guidelines in early industrial and technological revolutions.,Developing comprehensive ethical guidelines for AI is extremely complex.,"Accountability, transparency, human-centric."
hauer2022importance.platform2,Legal Issues and Liability,Uncertainty around legal liability for AI systems.,Lawsuit after an autonomous vehicle causes an accident.,The law needs to better define AI and attribute legal responsibility for it.,"""In essence, this breaks down the entire existing legal notion of what defines personhood.""",Debates over legal liability with past revolutionary technologies.,Granting legal personhood status to AI systems problematic.,"Legal personality, causation, compensation."
hauer2022importance.platform3,Risks and Opportunities,AI as presenting both major risks and opportunities.,Job loss versus enhanced productivity.,"AI's risks need ethical analysis, while also embracing its potential.","""AI is now rapidly developed and used around the world. However, it also brings with it new risks.""",Technologies that revolutionized societies while causing displacement. ,Hard to predict if benefits will outweigh costs of AI disruption.,"Transformation, tradeoffs, unknowns."
hauer2022importance.platform4,Computer-Generated Content,Computers mimicking human creativity and authorship.,Algorithmically generated novels and news articles.,"Software can produce original works, challenging notions of creativity.","""The ability to tell stories is almost exclusively associated with human authors..."" ",Debates over artistic creativity in other domains like photography,Computer-generated works often lack deeper meaning or connection.,"Automated, simulated, impersonal."
hauer2022importance.platform5,Robot Rights and Personhood,Possibility of granting legal status and rights to intelligent robots.,"Debate over ""electronic personhood"" for autonomous AI systems.","As AI advances, status and rights may need to be extended to robotic entities.","""...the introduction of a “special legal status for robots [...] so that at least the most complex autonomous robots can have the status of an electronic person...""",Earlier debates over granting legal personhood to corporations and ships.,"Idea of robot rights faces questions over meaning, risks, and effects.","Legal fiction, responsibility, unintended consequences."
